Rank,Model,CV Accuracy,CV ROC-AUC,Test Accuracy,Precision,Recall,F1-score,Test ROC-AUC,Tuning_Gain
1,AdaBoost,0.8899497487437186,0.9711152382617222,0.8722157092614302,0.6793103448275862,0.9248826291079812,0.7833001988071571,0.9679174002347416,0.0
2,Voting Classifier,0.892964824120603,0.967797122988544,0.8851113716295428,0.7254901960784313,0.8685446009389671,0.7905982905982906,0.9658964201877934,0.0
3,CatBoost,0.892964824120603,0.9661903438778257,0.8886283704572099,0.7341269841269841,0.8685446009389671,0.7956989247311828,0.9648914319248827,
4,Gradient Boosting,0.8884422110552764,0.9668452194953506,0.876905041031653,0.7125984251968503,0.8497652582159625,0.7751605995717344,0.9641358568075118,
5,Random Forest,0.8924623115577889,0.9643458115985106,0.8862837045720985,0.7338709677419355,0.8544600938967136,0.789587852494577,0.9638350938967136,
6,Bagging Classifier,0.8899497487437186,0.9627484171471625,0.88042203985932,0.7246963562753036,0.8403755868544601,0.7782608695652173,0.9627714201877935,
7,XGBoost,0.8984924623115578,0.9650602101915204,0.8968347010550997,0.7777777777777778,0.8215962441314554,0.7990867579908676,0.9625733568075117,
8,LightGBM,0.8979899497487438,0.9658241377660695,0.8921453692848769,0.7665198237885462,0.8169014084507042,0.7909090909090909,0.9611282276995305,
9,Hist Gradient Boosting,0.8974874371859297,0.9649023736047372,0.8815943728018757,0.7456140350877193,0.7981220657276995,0.7709750566893424,0.958824823943662,
10,Extra Trees,0.8793969849246231,0.9544229305694145,0.8780773739742087,0.7224489795918367,0.8309859154929577,0.7729257641921398,0.9531286678403756,
11,MLP Classifier,0.8693467336683417,0.9442666053591061,0.8604923798358733,0.6643356643356644,0.892018779342723,0.7615230460921844,0.9393779342723005,
12,SVM (RBF),0.8522613065326633,0.9282473843959108,0.8475967174677609,0.6406779661016949,0.8873239436619719,0.7440944881889764,0.9359118251173708,
13,Gaussian Naive Bayes,0.8346733668341708,0.9090860168428012,0.8323563892145369,0.625,0.8215962441314554,0.7099391480730223,0.9131675469483569,
14,Logistic Regression,0.8180904522613066,0.9147240293668656,0.8171160609613131,0.5934426229508196,0.8497652582159625,0.6988416988416989,0.9111355633802817,
15,Lasso Logistic Regression,0.8185929648241206,0.9146701576152992,0.8171160609613131,0.5934426229508196,0.8497652582159625,0.6988416988416989,0.9106440727699531,
16,SVM (Linear),0.8175879396984925,0.914159819786607,0.8182883939038686,0.5953947368421053,0.8497652582159625,0.7001934235976789,0.9103433098591549,
17,Passive Aggressive,0.8020100502512563,0.8969285297589937,0.8159437280187574,0.5921052631578947,0.8450704225352113,0.6963249516441006,0.9092869718309858,
18,LDA,0.7984924623115578,0.9116955481052358,0.8112543962485346,0.5783132530120482,0.9014084507042254,0.7045871559633028,0.9078198356807511,
19,QDA,0.8175879396984923,0.9062964617329952,0.8159437280187574,0.589171974522293,0.8685446009389671,0.7020872865275142,0.9078014964788732,
20,Ridge Classifier,0.8140703517587939,0.9116484780012648,0.8241500586166471,0.6039603960396039,0.8591549295774648,0.7093023255813954,0.9077758215962441,
21,SGD Classifier,0.807035175879397,0.9017522621333534,0.8147713950762017,0.5913621262458472,0.8356807511737089,0.6926070038910506,0.9046508215962442,
22,Perceptron,0.8,0.8951405423678549,0.8264947245017585,0.6140350877192983,0.8215962441314554,0.7028112449799196,0.8992884389671363,
23,KNN,0.7914572864321607,0.8823491598211468,0.8124267291910903,0.5857605177993528,0.8497652582159625,0.6934865900383141,0.8976012323943662,
24,Decision Tree,0.8668341708542713,0.8437015702580336,0.8862837045720985,0.7521739130434782,0.812206572769953,0.781038374717833,0.8615720363849765,
